,loss,acc,val_loss,val_acc
0,85341328.0,0.474884957075119,1.046600341796875,0.5
1,1.0515871047973633,0.48504599928855896,1.025382161140442,0.5
2,1.051819086074829,0.48504599928855896,1.0601330995559692,0.5
3,1.0512205362319946,0.48504599928855896,1.0319135189056396,0.5
4,1.0506571531295776,0.48504599928855896,1.0304689407348633,0.5
5,1.0512762069702148,0.48504599928855896,1.0367807149887085,0.5
6,1.0504013299942017,0.48504599928855896,1.0159308910369873,0.5
7,1.0507941246032715,0.48504599928855896,1.045318365097046,0.5
8,1.0503484010696411,0.48504599928855896,1.0374888181686401,0.5
9,1.0501257181167603,0.48504599928855896,1.045938491821289,0.5
